Наименование;"Наименование артикула";"Код артикула";Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"Краткое описание";Описание;Теги;Заголовок;"META Keywords";"META Description";"Ссылка на витрину";Производитель;Объем;Размеры;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения
"Пирамида Клоун (пазл)";"";"91006";"RUB";"279.00";"1";"";"";"";"Необычная пирамида «Клоун» состоит не из привычных колец, а из пяти колец-пазлов, каждое из которых разбирается на три детали. Придется включить фантазию и поломать голову, чтобы собрать пирамиду правильно. Развивающие пирамиды помогают ребенку развивать логическое мышление и мелкую моторику.";"";"Пирамида Клоун (пазл)";"";"";"piramida-kloun-pazl";"";"";"115.00 мм x 115.00 мм x 260.00 мм";"https://playdorado.ru/image/cache/data/91006-600x600.jpg";"https://playdorado.ru/image/cache/data/91006-1-600x600.jpg";"https://playdorado.ru/image/cache/data/91006-2-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Пирамида Клоун  8 колец";"";"13004";"RUB";"405.00";"1";"";"";"";"Пирамида «Клоун» — это игрушка, развивающая логическое мышление ребенка, а также веселый клоун с головой, ручками и ножками. Им можно одновременно играть в детские ролевые игры и изучать разные размеры колец и их цвета. Ребенок будет очень рад такому обновлению в своих игрушках.
Чтобы посмотреть отзывы по данному товару, перейдите по ссылке.";"";"Пирамида Клоун  8 колец";"";"";"piramida-kloun--8-kolets";"";"";"170.00 мм x 170.00 мм x 330.00 мм";"https://playdorado.ru/image/cache/data/13004-600x600.jpg";"https://playdorado.ru/image/cache/data/13004-1-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Пирамида Золотой Петушок";"";"13019";"RUB";"559.00";"1";"";"";"";"Герой добрых русских сказок, справедливый и честный Петушок порадует вашего ребенка, если вы подарите ему пирамиду «Золотой петушок». Конусообразное основание, на которое одеваются кольца, не позволит нанизывать их невпопад, придется подумать и включить логическое мышление. Хотите занять вашего ребенка интересным занятием надолго.
Чтобы посмотреть отзывы по данному товару, перейдите по ссылке.";"";"Пирамида Золотой Петушок";"";"";"piramida-zolotoy-petushok";"";"";"145.00 мм x 145.00 мм x 445.00 мм";"https://playdorado.ru/image/cache/data/13019-600x600.jpg";"https://playdorado.ru/image/cache/data/13019-1-600x600.jpg";"https://playdorado.ru/image/cache/data/13019-2-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Пирамида Зайчик 7 колец";"";"13002";"RUB";"294.00";"1";"";"";"";"Пирамида «Зайчик» предназначена для детей от 3-х лет. 6 разноцветных колец разного диаметра нанизаны на основание. Верхушка пирамиды — улыбающийся желтый зайчик. Играя с пирамидой, ребенок научится различать детали по цвету и размеру.";"";"Пирамида Зайчик 7 колец";"";"";"piramida-zaychik-7-kolets";"";"";"120.00 мм x 120.00 мм x 320.00 мм";"https://playdorado.ru/image/cache/data/13002-600x600.jpg";"https://playdorado.ru/image/cache/data/13002-1-600x600.jpg";"https://playdorado.ru/image/cache/data/13002-2-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Пирамида Зайка";"";"91023";"RUB";"251.00";"1";"";"";"";"Веселый красный зайчик на вершине пирамиды «Зайка» поднимет настроение вашему малышу. Разбирать и собирать пирамидку, состоящую из шести колец, будет весело и полезно для развития. Игрушка изготовлена из безопасных для ребенка материалов — пластмассы и красителей.";"";"Пирамида Зайка";"";"";"piramida-zayka";"";"";"125.00 мм x 125.00 мм x 245.00 мм";"https://playdorado.ru/image/cache/data/91023-600x600.jpg";"https://playdorado.ru/image/cache/data/91023-1-600x600.jpg";"https://playdorado.ru/image/cache/data/91023-2-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Пирамида Гигант 13 колец";"";"13014";"RUB";"504.00";"1";"";"";"";"Этой игрушкой вы без труда увлечете малыша на долгое время. Яркая как радуга, пирамида «Гигант» состоит из 13 колец. Для того, чтобы научиться сопоставлять их размеры, понадобится не один час. Хотите развивать логическое мышление вашего ребенка с раннего возраста.";"";"Пирамида Гигант 13 колец";"";"";"piramida-gigant-13-kolets";"";"";"145.00 мм x 145.00 мм x 395.00 мм";"https://playdorado.ru/image/cache/data/13014-600x600.jpg";"https://playdorado.ru/image/cache/data/13014-1-600x600.jpg";"https://playdorado.ru/image/cache/data/13014-2-600x600.jpg";"https://playdorado.ru/image/cache/data/13014-3-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Пирамида Башенка";"";"90034";"RUB";"171.00";"1";"";"";"";"Необычная пирамида «Башенка» понравится любому ребенку, ведь состоит она не из привычных колец, а из объемных пазлов. С ее помощью ребенок научится различать цвета и разные формы деталей. Такие пирамидки способствуют развитию логического мышления в раннем возрасте.";"";"Пирамида Башенка";"";"";"piramida-bashenka";"";"";"85.00 мм x 85.00 мм x 140.00 мм";"https://playdorado.ru/image/cache/data/90034-600x600.jpg";"https://playdorado.ru/image/cache/data/90034-1-600x600.jpg";"https://playdorado.ru/image/cache/data/90034-2-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Пирамида 'Гном Кузя' 1/9";"";"13044";"RUB";"280.00";"1";"";"";"";"Пирамидка для самых маленьких «Гном Кузя» состоит из четырех колец разного размера с верхушкой из веселого Кузи. Когда ребенок научится собирать такую игрушку, можно покупать пирамидку с большим количеством колец. Угодить малышу легко, если покупать ему яркие развивающие игрушки. Хотите доставить радость ребенку.";"";"Пирамида 'Гном Кузя' 1/9";"";"";"piramida-quotgnom-kuzyaquot-19";"";"";"115.00 мм x 115.00 мм x 210.00 мм";"https://playdorado.ru/image/cache/data/13044-600x600.jpg";"https://playdorado.ru/image/cache/data/13044-1-600x600.jpg";"https://playdorado.ru/image/cache/data/13044-2-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Пирамида 'Гном Вася' 1/9";"";"13045";"RUB";"280.00";"1";"";"";"";"Веселый и добродушный гном Вася подарит радость вашему ребенку. Пирамидка «Гном Вася» состоит из четырех ярких колец, она увлечет любого малыша в раннем возрасте. Собирая пирамидку, ребенок научится отличать колечки по форме и цвету.";"";"Пирамида 'Гном Вася' 1/9";"";"";"piramida-quotgnom-vasyaquot-19";"";"";"115.00 мм x 115.00 мм x 210.00 мм";"https://playdorado.ru/image/cache/data/13045-600x600.jpg";"https://playdorado.ru/image/cache/data/13045-1-600x600.jpg";"https://playdorado.ru/image/cache/data/13045-2-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Пирамида 'Баба Яга' 1/4";"";"13043";"RUB";"315.00";"1";"";"";"";"Кто решил, что Баба Яга — это пугающий и опасный сказочный персонаж. Пирамидка «Баба Яга» познакомит вашего ребенка с веселой бабушкой и поможет освоить важные в раннем возрасте знания о разных цветах и формах. 4 разноцветных кольца обязательно привлекут внимание малыша.";"";"Пирамида 'Баба Яга' 1/4";"";"";"piramida-quotbaba-yagaquot-14";"";"";"150.00 мм x 150.00 мм x 320.00 мм";"https://playdorado.ru/image/cache/data/13043-600x600.jpg";"https://playdorado.ru/image/cache/data/13043-1-600x600.jpg";"https://playdorado.ru/image/cache/data/13043-2-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Пирамида  9 колец";"";"13001";"RUB";"279.00";"1";"";"";"";"Первые знания о цветах и форме ребенок получит с помощью пирамидки «9 колец». Разные по диаметру яркие колечки познакомят малыша с размерами, научат нанизывать кольца на стержень, помогут в развитии мелкой моторики ребенка в раннем возрасте. Хотите разнообразить игры своего ребенка.";"";"Пирамида  9 колец";"";"";"piramida--9-kolets";"";"";"120.00 мм x 120.00 мм x 250.00 мм";"https://playdorado.ru/image/cache/data/13001-600x600.jpg";"https://playdorado.ru/image/cache/data/13001-1-600x600.jpg";"https://playdorado.ru/image/cache/data/13001-2-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"!!Каталки";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Каталка 'Веселые котики'";"";"12023";"RUB";"182.00";"1";"";"";"";"Кто же из детей не любит маленьких котиков. Каталка «Веселые котики» порадует любого малыша. С помощью удобной ручки ее можно катать вперед и назад, а пластмассовые котики, помещенные в барабан каталки, будут издавать звуки, привлекающие ребенка. С помощью такой игрушки будет развиваться фантазия малыша.";"";"Каталка 'Веселые котики'";"";"";"katalka-quotveselye-kotikiquot";"";"";"125.00 мм x 105.00 мм x 610.00 мм";"https://playdorado.ru/image/cache/data/12023-600x600.jpg";"https://playdorado.ru/image/cache/data/12023-1-600x600.jpg";"https://playdorado.ru/image/cache/data/12023-2-600x600.jpg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
