Наименование;"Наименование артикула";"Код артикула";Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"Краткое описание";Описание;Теги;Заголовок;"Тип товаров""META Keywords";"META Description";"Ссылка на витрину";Производитель;Объем;Размеры;"Возраст детей";Страна-производитель;Материал;Изображения
"Temporary2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"!LavaToys";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"!!Бегемоты";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Тигрёнок лежащий";"";"LVS-1257";"RUB";"399";"1";"469";"";"";"Издает звук «В зоопарк спешите дети» при нажатии на игрушку";"";"Тигрёнок лежащий";"";"";"tigrёnok-lezhashchiy-lvs-1257";"";"";"Высота: 25 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/13/21/1321db16be45ef4be24a9c8d41b2d62a.jpg"
"Леопард лежащий";"";"LVS-1187";"RUB";"399";"1";"799";"";"";"Издает звук «Буду бегать за хвостом» при нажатии на игрушку";"";"Леопард лежащий";"";"";"leopard-lezhashchiy-lvs-1187";"";"";"Высота: 38 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/75/1e/751e926e1f109925e3d9386d3f82f8e6.jpg"
"!!Цветы";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Цветок танцующий";"";"LVS-8339s";"RUB";"199";"1";"799";"";"";"Издает звук «Посмотрите, я танцую» при нажатии на игрушку";"";"Цветок танцующий";"";"";"tsvetok-tantsuyushchiy-lvs-8339s";"";"";"Высота: 38 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/42/ab/42abceeb9491db3ad791534999b915d7.jpg"
"Цветок с бутонами";"";"LVS-8766s";"RUB";"199";"1";"399";"";"";"Издает звук «Вальс цветов» при нажатии на игрушку";"";"Цветок с бутонами";"";"";"tsvetok-s-butonami-lvs-8766s";"";"";"Высота: 27 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/39/a9/39a9a3c599f5252309a71898ccbdc91e.jpg"
"Цветок нежный";"";"LVS-8691";"RUB";"199";"1";"399";"";"";"Издает звук «Замечательный цветочек» при нажатии на игрушку";"";"Цветок нежный";"";"";"tsvetok-nezhnyy-lvs-8691";"";"";"Высота: 22 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/53/9d/539d9b30046782d1b77b103b2a3f610c.jpg"
"Подсолнух с божьей коровкой в горшке";"";"LVS-8692";"RUB";"199";"1";"399";"";"";"Издает звук «Вальс цветов» при нажатии на игрушку";"";"Подсолнух с божьей коровкой в горшке";"";"";"podsolnukh-s-bozhey-korovkoy-v-gorshke-lvs-8692";"";"";"Высота: 25 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/a4/79/a4796b16e60cd68411e0a52c64ebc63d.jpg"
"Подсолнух с божьей коровкой";"";"LVS-8673";"RUB";"139";"1";"319";"";"";"Издает звук «Вальс цветов» при нажатии на игрушку";"";"Подсолнух с божьей коровкой";"";"";"podsolnukh-s-bozhey-korovkoy-lvs-8673";"";"";"Высота: 28 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/5c/9e/5c9eb417291abc45ec6ef9b951afd3a3.jpg"
"Подсолнух";"";"LVS-8065";"RUB";"159";"1";"319";"";"";"Издает звук «Вальс цветов» при нажатии на игрушку";"";"Подсолнух";"";"";"podsolnukh-lvs-8065";"";"";"Высота: 30 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/19/e1/19e15828275ce0dcf38a6b776ef1c27a.jpg"
"Земляника / цветок";"";"LVS-8496s";"RUB";"199";"1";"399";"";"";"Издает звук «Если встанешь рано утром» при нажатии на игрушку";"";"Земляника / цветок";"";"";"zemlyanika--tsvetok-lvs-8496s";"";"";"Высота: 25 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/8f/a7/8fa7f28c4ea7b9aea72c1edea7353e1a.jpg"
"Земляника";"";"LVS-8122s";"RUB";"199";"1";"399";"";"";"Издает звук «Красота вокруг какая» при нажатии на игрушку";"";"Земляника";"";"";"zemlyanika-lvs-8122s";"";"";"Высота: 20 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/b1/26/b126cab70e0e600a5b3f337fe45172df.jpg"
"!!Черепахи";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Черепашка цветная";"";"LVS-8602";"RUB";"299";"1";"499";"";"";"Издает звук «Варись, варись кашка» при нажатии на игрушку";"";"Черепашка цветная";"";"";"cherepashka-tsvetnaya-lvs-8602";"";"";"Высота: 24 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/8a/ae/8aae87ffb079f55197e2564f36a755ff.jpg"
"Черепашка ситцевая";"";"LVS-1195";"RUB";"69";"1";"319";"";"";"Издает звук «Хохотушка» при нажатии на игрушку";"";"Черепашка ситцевая";"";"";"cherepashka-sittsevaya-lvs-1195";"";"";"Высота: 19 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/e4/aa/e4aacf8028aae800f72adbc3a6f98109.jpg"
"Черепашка с зелёным панцирем";"";"LVS-1154";"RUB";"199";"1";"499";"";"";"Издает звук «Хохотушка» при нажатии на игрушку";"";"Черепашка с зелёным панцирем";"";"";"cherepashka-s-zelёnym-pantsirem-lvs-1154";"";"";"Высота: 24 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/ee/de/eedeaed555b092ab301642630033131c.jpg"
"Черепаха в шляпке";"";"LVS-1215";"RUB";"199";"1";"499";"";"";"Издает звук «Хохотушка» при нажатии на игрушку";"";"Черепаха в шляпке";"";"";"cherepakha-v-shlyapke-lvs-1215";"";"";"Высота: 24 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/f6/00/f6007b3992cc33715e70c44e4241e8c4.jpg"
