Наименование;"Наименование артикула";"Код артикула";Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"Краткое описание";Описание;Теги;Заголовок;"Тип товаров""META Keywords";"META Description";"Ссылка на витрину";Производитель;Объем;Размеры;"Возраст детей";Страна-производитель;Материал;Изображения;Изображения;Изображения;Изображения
"!! Тракторные масла";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Universal Fluid 20W-40";"";"";"RUB";"";"1";"";"";"";"Масло для смазки мануальных коробок передач, главных передач, гидросистем, мокрых тормозов и сцепления в тракторах, лесохозяйственной технике и строительных машинах. Идеальное решение для тяжелых условий эксплуатации.<br><br>Класс вязкости <br><strong>UNIVERSAL FLUID 20W-40:</strong> SAE 20W-40<br><br>Спецификации и лицензии <br><strong>UNIVERSAL FLUID 20W-40:</strong> API GL-4; выполняет требования: Volvo VME WB 101<span><span style='color: #333333;'> / WB 102</span></span>; DIN 51524-2/3 (HLP/HVLP)";"";"Universal Fluid 20W-40";"";"";"universal-fluid-20w-40";"";"";"";"";"";"";"";"";"";""
"Fluid TO-4";"";"";"RUB";"";"1";"";"";"";"Универсальные трансмиссионные жидкости, предназначенные в первую очередь для нового поколения строительных машин Caterpillar.";"";"Fluid TO-4";"";"";"fluid-to-4";"";"";"";"";"";"";"";"";"";""
"UTTO";"";"";"RUB";"";"1";"";"";"";"Универсальное тракторное масло, относящееся к типу UTTO, предназначено для смазки коробок передач, главных передач, гидравлических систем, а также мокрых тормозов и сцеплений в тракторах, лесо- и сельскохозяйственной технике и строительных машинах.<br><br>Класс вязкости<br><strong>UTTO:</strong> SAE 80W (10W-30) <br><br>Спецификации и лицензии<br><strong>UTTO:</strong> API GL-4, HLPD/HVLPD (DIN 51524 2/3), лицензии: ZF000509: ZF TE-ML 03E, 05F, 06K, 17E, 21F (UTTO SAE 10W-30); выполняет требования: John Deere JDM J 20 C; CNH MAT 3505 (содержит NH 134 D, Multi G, Multi G 134, NH 86556175, NH 86509436 до 86509444, NH 86511126); MS 1207/1209; Ford M2C 134 C/D, M2C 86 B/C; M2C 41 B, M2C 48 B, M2C 53 A; Ford New Holland 410 B; Massey Ferguson M 1135, M 1141, M 1143, M 1145; Allison C3/C4; Caterpillar TO-2; Steyr E1/F1/H; FIAT; Renault; Deutz Allis; Kubota";"";"UTTO";"";"";"utto";"";"";"";"";"";"";"";"";"";""
"Super Traktor MU 1035, MU 1045, MU 1545";"";"";"RUB";"";"1";"";"";"";"Тракторное масло типа (STOU) применяется в двигателях, коробках передач, гидравлических системах, мокрых тормозах и коробках передач, переключаемых под нагрузкой.<br><br>Класс вязкости <br><strong>SUPER TRAKTOR MU 1035:</strong> SAE 10W-30<br><strong>SUPER TRAKTOR MU 1545:</strong> SAE 15W-40<br><strong>SUPER TRAKTOR MU 1045:</strong> SAE 10W-40<br><br>Спецификации и лицензии <br><strong>SUPER TRAKTOR MU 1035:</strong> <span>ACEA E2, API CG-4/CF-4/SF; MIL-L-2104D; GL-4; HVLPD (DIN 51524-3); выполняет требования: MB 228.3/228.1/227.1; Massey Ferguson M 1145/1144/1139; John Deere JDM J 27; Ford M2C 159 B; Allison C4; Caterpillar TO-2; MAN 271; ZF TE-ML 06B, 07B </span> <br><strong>SUPER TRAKTOR MU 1545:</strong> <span>ACEA </span><span><span>E2, API CG-4/CF-4/SF; MIL-L-2104D;</span></span><span> GL-4; HLPD (DIN 51524-2); выполняет требования: MB 228.3/228.1/227.1; Massey Ferguson M 1145/1144/1139; John Deere JDM J 27; Ford M2C 159 B; Allison C4; Caterpillar TO-2; MAN 271; ZF TE-ML 06B, 07B </span>  <br><strong>SUPER TRAKTOR MU 1045:</strong> <span>ACEA </span><span><span>E2, API CG-4/CF-4/SF; MIL-L-2104D;</span></span><span> GL-4; HVLPD (DIN 51524-3); лицензии: ZF001985: ZF TE-ML 06B (включает C, Q, R), 07B; выполняет требования: MB 228.3/228.1/227.1; Massey Ferguson M 1145/1144/1139; John Deere JDM J 27; Ford M2C 159 B; Allison C4; Caterpillar TO-2; MAN 271</span>";"";"Super Traktor MU 1035, MU 1045, MU 1545";"";"";"super-traktor-mu-1035-mu-1045-mu-1545";"";"";"";"";"";"";"";"";"";""
"UTTO Plus";"";"";"RUB";"";"1";"";"";"";"Полусинтетическое многофункциональное тракторное масло c всесезонной характеристикой для механических коробок передач, гидросистем, мокрых тормозов, коробок передач, переключаемых под нагрузкой, дифференциалов и для концевых приводов. Подходит для применения в тяжелых эксплуатационных условиях. <br> <br> Класс вязкости <br> <strong>UTTO PLUS:</strong> SAE 75W-80 (5W-30) <br> <br> Спецификации и лицензии <br> <strong>UTTO PLUS:</strong> API GL-4, HLPD/HVLPD (DIN 51524 2/3), выполняет требования: John Deere JDM J 20D (включая LD303, J14B/C, J20A-C), Steyr BR 80 трансмиссия / коробка передач в блоке с ведущим мостом  / гидравлика, Massey Ferguson M-1110/1127/1129/1141/1143/1145, Volvo WB 101, TCM вилочные погрузчики, Allison C4 (C2, C3), Caterpillar TO-4 (TO-2), Renk-Doromat, Kubota Super UDT, Komatsu, Case/New Holland MS 1204/1206/1207*/1209*/1210";"";"UTTO Plus";"";"";"utto-plus";"";"";"";"";"";"";"";"";"";""
"UTTO Extra";"";"";"RUB";"";"1";"";"";"";"Универсальное тракторное масло, относящееся к типу UTTO, предназначено для смазки коробок передач, главных передач, гидравлических систем, а также мокрых тормозов и сцеплений в тракторах, лесо- и сельскохозяйственной технике и строительных машинах. Применяется также для тяжелых условий эксплуатации, особенно для таких типов тракторов как Fiat, Renault и New Holland / Ford.<br>    <br>Класс вязкости <br><strong>UTTO Extra:</strong> SAE 85W (20W-40)<br><br>Спецификации и лицензии<br><strong>UTTO Extra:</strong> API GL-4; HLP/HLPD (DIN 51524-2); лицензии: ZF001845:ZF TE-ML 05F, 06K, 17E, 21F; выполняет требования: Denison HF-2, HF-1, HF-0; John Deere JDM J 20 A/B/C, JDM J 14 B/C, JDT LD 303 Quatrol; Case-IH MS-1204; Ford-New Holland FNH-2-C-201; Allison C4; Caterpillar TO-2; Hesston-FIAT AF87; TCM Forklifts";"";"UTTO Extra";"";"";"utto-extra";"";"";"";"";"";"";"";"";"";""
"!! Моторные масла для 2-тактных агрегатов и 4-тактных двигателей мотоциклов";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Super Racing 10W-60";"";"";"RUB";"";"1";"";"";"";"Высокомощное синтетическое моторное масло для четырехтактных двигателей мотоциклов. Предназначено для двигателей с мокрым сцеплением, обладает оптимальной защитой от износа, термостойкое.<br><br>Класс вязкости <br><strong>SUPER RACING 10W-60:</strong> SAE 10W-60";"";"Super Racing 10W-60";"";"";"super-racing-10w-60";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/Super Racing 10W-60 1l.jpg";"";"";""
"Pole Position 20W-50";"";"";"RUB";"";"1";"";"";"";"Высокоэффективное синтетическое моторное масло для мотоциклов. Предназначено для четырехтактных двигателей с мокрым сцеплением, обладает оптимальной защитой от износа, термостойкое.<br><br>Спецификации и лицензии <br><strong>POLE POSITION SAE 20W-50:</strong> JASO MA-2; API SN<br><br><strong>EAN код Pole Position 20W-50 1L:</strong> 4014766073495";"";"Pole Position 20W-50";"";"";"pole-position-20w-50";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/Pole Position 20W-50 1L.jpg";"";"";""
"Pole Position 10W-50";"";"";"RUB";"";"1";"";"";"";"Высокоэффективное синтетическое моторное масло для мотоциклов. Предназначено для четырехтактных двигателей с мокрым сцеплением, обладает оптимальной защитой от износа, термостойкое.<br><br>Спецификации и лицензии <br><strong>POLE POSITION SAE 10W-50:</strong> JASO MA-2; API SN<br><br><strong>EAN код Pole Position 10W-50 1L:</strong> 4014766073457";"";"Pole Position 10W-50";"";"";"pole-position-10w-50";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/Pole Position 10W-50 1L.jpg";"";"";""
"Pole Position 10W-40";"";"";"RUB";"";"1";"";"";"";"Высокоэффективное синтетическое моторное масло для мотоциклов. Предназначено для четырехтактных двигателей с мокрым сцеплением, обладает оптимальной защитой от износа, термостойкое.<br><br>Спецификации и лицензии <br><strong>POLE POSITION SAE 10W-40:</strong> JASO MA-2; API SN<br><br><strong>EAN код Pole Position 10W-40 1L:</strong> 4014766073419<br><strong>EAN код Pole Position 10W-40 20L:</strong> 4014766101389<br><strong>EAN код Pole Position 10W-40 57L: </strong>4014766300515<br><strong>EAN код Pole Position 10W-40 205L:</strong> 4014766401465";"";"Pole Position 10W-40";"";"";"pole-position-10w-40";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/Pole Position 10W-40 1L.jpg";"";"";""
"Super Mix MZ 405";"";"";"RUB";"";"1";"";"";"";"Высокомощное масло на минеральной основе для двухтактных двигателей, оснащенных смешанной или раздельной (система автоматической подачи масла в топливо) системой смазки. Соотношение масла к топливу: 1:50<br>• протестировано в двигателях с катализаторами <br><br>Спецификации и лицензии <br><strong>SUPER MIX MZ 405:</strong> API TC; JASO FB; ISO-L-EGB<br><br><strong>EAN код Super Mix MZ 405 1L:</strong> 4014766070067<br><strong>EAN код Super Mix MZ 405 5L:</strong> 4014766241061";"";"Super Mix MZ 405";"";"";"super-mix-mz-405";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/Super Mix MZ 405 1l.jpg";"";"";""
"Super 2T MZ 406";"";"";"RUB";"";"1";"";"";"";"Высокомощное синтетическое масло для двухтактных двигателей снегоходов, мотоциклов и  любой другой  техники, обладающее свойствами low-smoke (уменьшает дымообразование)<br>• самосмешивающееся, протестировано в двигателях с катализаторами<br><br>Спецификации и лицензии <br><strong>SUPER 2T MZ 406:</strong> <span>API TC; JASO FC; ISO-L-EGC</span><br><br><strong>EAN код Super 2T MZ 406 1L:</strong> 4014766070326";"";"Super 2T MZ 406";"";"";"super-2t-mz-406";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/Super 2T MZ 406 1l.jpg";"";"";""
"Aqua Super MZ 407 M";"";"";"RUB";"";"1";"";"";"";"Высокомощное масло на минеральной основе для двухтактных двигателей, особо рекомендуется для лодочных двигателей.<br><br>Спецификации и лицензии <br><strong>AQUA SUPER MZ 407 M:</strong> API TC; NMMA TC-W3; JASO FC; ISO-L-EGC/EGD<br><br><strong>EAN код Aqua Super MZ 407 M 1L:</strong> 4014766072337";"";"Aqua Super MZ 407 M";"";"";"aqua-super-mz-407-m";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/Aqua Super MZ 407 M 1l.jpg";"";"";""
"Super synth 2T MZ 408";"";"";"RUB";"";"1";"";"";"";"Высокомощное синтетическое масло для двух­тактных двигателей спортивной техники (снегоходы, мотоциклы)<br>• самосмешивающееся, протестировано в двигателях с катализаторами<br>• биоразлагаемое<br><br>Спецификации и лицензии <br><strong>SUPER SYNTH 2T MZ 408:</strong> API TC+; JASO FD; ISO-L-EGD<br><br><strong>EAN код Super synth 2T MZ 408 1L:</strong> 4014766070968";"";"Super synth 2T MZ 408";"";"";"super-synth-2t-mz-408";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/Super Synth 2T MZ 408 1L.jpg";"";"";""
"Pole Position High Speed 2T";"";"";"RUB";"";"1";"";"";"";"Высокомощное синтетическое масло для двухтактных двигателей с воздушным и водяным охлаждением, работающих в экстремальных условиях эксплуатации. Подходит для использования в условиях мотокросса и уличных гонок, обеспечивает стабильную смазочную плёнку и надежную защиту двигателя даже при высоких нагрузках.";"";"Pole Position High Speed 2T";"";"";"pole-position-high-speed-2t";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/Pole Position HighSpeed 2T 1L.jpg";"";"";""
"Pole Position SAE 5W-40";"";"";"RUB";"";"1";"";"";"";"Высокоэффективное синтетическое моторное масло для мотоциклов. Предназначено для четырехтактных двигателей с мокрым сцеплением, термостойкое, обеспечивает оптимальную защиту от износа.<br><br>Спецификации и лицензии<br><strong>POLE POSITION SAE 5W-40:</strong> JASO MA-2; API SN";"";"Pole Position SAE 5W-40";"";"";"pole-position-sae-5w-40";"";"";"";"";"";"";"http://www.addinol.ee/extensions/addinol_db/pic/Pole Position 5W-40.jpg";"";"";""
